公司名称,流动比率,资产负债率,应收账款周转率,总资产周转率,净资产收益率,资产报酬率,净利润增长率,总资产增长率
平安银行,0,0.965431,9.975949,0.028588,0.037439,0,-3.303999,0.345779
万科A,1.75755,0.674441,44.422298,0.343785,0.119527,0.044425,5.121004,0.19124
国农科技,1.316347,0.491793,8.670811,0.258117,-0.134661,-0.060946,3.644764,-0.011848
世纪星源,0.439712,0.458645,6.297277,0.078271,0.013963,0.03889,-0.958942,-0.06656
深振业A,1.738363,0.716675,1792.534332,0.17255,0.089534,0.037885,217.228435,0.063395
全新好,0.458499,1.122615,39.055108,0.260362,0.868214,-0.025856,1.566777,-0.171643
神州高铁,8.733626,0.062781,,0.144865,0.010114,0.006052,4.843884,-0.002187
中国宝安,1.675551,0.589999,9.537868,0.4754,0.108864,0.056067,-0.196843,0.04187
深华新,1.226483,0.646314,1.720128,0.594814,0.256648,0.094241,-0.651585,-0.293209
深物业A,1.549012,0.729266,9.08763,0.295363,0.017208,0.015249,-3.339104,0.119659
南玻A,0.411991,0.536142,18.063387,0.41185,0.103933,0.055721,-1.736933,0.227503
沙河股份,1.523159,0.743529,64.174647,0.187217,0.102082,0.032502,-5.748257,0.506148
深康佳A,1.379333,0.619724,9.202781,1.160498,0.06459,0.024687,-0.450606,-0.007799
深中华A,0.052379,10.443048,712.15337,1.436386,0.02468,-0.064989,-3.623064,-0.109542
神州长城,1.445728,0.321194,17.071972,0.243004,-0.198975,-0.1369,2.025182,-0.159196
深深宝A,1.111533,0.279769,4.140444,0.284087,0.041798,0.039,-1.166239,0.136448
深华发A,0.995348,0.445208,1.924863,0.424029,0.030539,0.031556,7.606942,0.194444
深科技,3.206515,0.2002,17.545619,3.219796,0.091349,0.07416,0.390529,-0.157933
深赤湾A,0.624711,0.35432,13.13881,0.371383,0.283806,0.17182,-0.177617,-0.055633
深天地A,1.1834,0.690112,3.127742,0.550488,0.071574,0.033356,13.660591,0.219298
招商地产,2.285585,0.565149,33.338822,0.095445,0.067078,0.029995,3.34245,0.491089
特力A,0.404805,0.695731,49.198593,1.038,0.009866,0.02363,6.704747,-0.265858
飞亚达A,1.37155,0.528519,10.805633,0.753827,0.095687,0.07671,-0.409184,0.37847
深圳能源,0.739785,0.534477,9.840443,0.36219,0.085084,0.057234,-0.748544,0.198489
国药一致,1.045025,0.823731,4.841775,2.269383,0.250172,0.058627,-0.265174,0.265496
深深房A,1.863376,0.47162,47.264783,0.311612,0.016001,0.02148,-0.272159,-0.016098
富奥股份,0.003728,96.959314,,0.094619,0.049403,-3.102973,6.188483,-0.338563
中粮地产,1.65289,0.637839,38.536531,0.120125,0.042171,0.020914,-8.925206,0.505674
深桑达A,1.68268,0.413141,11.877432,1.252045,0.102582,0.086215,-0.557679,-0.25861
*ST 新都,0.51358,0.337881,3.469743,0.147663,0.011458,0.028443,-0.958554,-0.075388
深信泰丰,0.154394,7.143951,19.06157,1.516845,0.248454,-1.25029,14.575249,-0.408589
中国天楹,0.021511,3.29516,0.595971,0.015504,0.008093,0.08508,-7.217311,0.12849
华联控股,2.085046,0.536554,81.962731,0.041844,-0.289538,-0.130087,-0.473107,-0.771632
*ST 南电A,0.775778,0.611732,9.286894,0.633091,0.007663,0.034412,-5.981618,-0.102104
深大通,1.46041,0.683695,,,1.589253,0.513782,-112.929162,33.185913
中集集团,1.591262,0.567842,11.285245,1.369508,0.11284,0.054429,-1.178177,-0.158125
宝安地产,1.309751,0.594995,33.627005,0.135215,-0.135604,-0.038351,1.132714,0.058751
中洲控股,1.672595,0.686198,12.226976,0.205312,0.003898,0.014969,-3.335194,0.040267
中航地产,1.523327,0.633892,28.960633,0.37724,0.013615,0.011414,-2.003366,0.194812
